Rank,Team,GM,W-L,FGM,FGA,FG%,Madness
13,Kansas (Big 12),6,6-0,170,368,46.2,1
34,North Carolina (ACC),6,5-1,164,395,41.5,1
40,Villanova (Big East),5,4-1,110,275,40,1
1,Duke (ACC),5,4-1,149,293,50.9,1
46,Arkansas (SEC),4,3-1,93,241,38.6,1
39,Saint Peter's (MAAC),4,3-1,90,224,40.2,1
28,Houston (AAC),4,3-1,97,226,42.9,1
25,Miami (FL) (ACC),4,3-1,101,233,43.3,1
59,Iowa St. (Big 12),3,2-1,65,182,35.7,1
35,Providence (Big East),3,2-1,75,183,41,1
19,Purdue (Big Ten),3,2-1,66,148,44.6,1
16,Arizona (Pac-12),3,2-1,82,182,45.1,1
15,UCLA (Pac-12),3,2-1,73,162,45.1,1
14,Michigan (Big Ten),3,2-1,74,163,45.4,1
11,Notre Dame (ACC),3,2-1,83,178,46.6,1
10,Gonzaga (WCC),3,2-1,90,193,46.6,1
4,Texas Tech (Big 12),3,2-1,88,179,49.2,1
57,Illinois (Big Ten),2,1-1,36,99,36.4,1
55,Wisconsin (Big Ten),2,1-1,40,109,36.7,1
53,Auburn (SEC),2,1-1,49,132,37.1,1
52,Texas Southern (SWAC),2,1-1,42,113,37.2,1
48,Indiana (Big Ten),2,1-1,44,115,38.3,1
42,New Mexico St. (WAC),2,1-1,41,103,39.8,1
40,Creighton (Big East),2,1-1,46,115,40,1
37,Wright St. (Horizon),2,1-1,53,130,40.8,1
36,Richmond (Atlantic 10),2,1-1,45,110,40.9,1
33,TCU (Big 12),2,1-1,53,127,41.7,1
32,Ohio St. (Big Ten),2,1-1,42,100,42,1
30,Murray St. (OVC),2,1-1,49,116,42.2,1
26,Texas (Big 12),2,1-1,54,125,43.2,1
22,Baylor (Big 12),2,1-1,59,135,43.7,1
20,Michigan St. (Big Ten),2,1-1,55,124,44.4,1
18,Memphis (AAC),2,1-1,54,121,44.6,1
9,Saint Mary's (CA) (WCC),2,1-1,51,109,46.8,1
3,Tennessee (SEC),2,1-1,61,122,50,1
68,Loyola Chicago (MVC),1,0-1,15,56,26.8,1
67,Seton Hall (Big East),1,0-1,15,52,28.8,1
66,Jacksonville St. (ASUN),1,0-1,19,61,31.1,1
65,Boise St. (Mountain West),1,0-1,17,54,31.5,1
64,Norfolk St. (MEAC),1,0-1,18,57,31.6,1
63,Chattanooga (SoCon),1,0-1,21,65,32.3,1
62,Georgia St. (Sun Belt),1,0-1,23,70,32.9,1
61,Colorado St. (Mountain West),1,0-1,23,65,35.4,1
60,Marquette (Big East),1,0-1,26,73,35.6,1
57,Iowa (Big Ten),1,0-1,24,66,36.4,1
56,Yale (Ivy League),1,0-1,23,63,36.5,1
54,LSU (SEC),1,0-1,17,46,37,1
51,A&M-Corpus Christi (Southland),1,0-1,25,67,37.3,1
50,Cal St. Fullerton (Big West),1,0-1,24,64,37.5,1
49,Montana St. (Big Sky),1,0-1,21,55,38.2,1
47,Longwood (Big South),1,0-1,20,52,38.5,1
44,South Dakota St. (Summit League),1,0-1,22,57,38.6,1
44,Colgate (Patriot),1,0-1,22,57,38.6,1
43,Akron (MAC),1,0-1,21,53,39.6,1
38,Alabama (SEC),1,0-1,26,64,40.6,1
31,San Diego St. (Mountain West),1,0-1,27,64,42.2,1
29,Kentucky (SEC),1,0-1,26,61,42.6,1
27,UConn (Big East),1,0-1,22,51,43.1,1
24,Wyoming (Mountain West),1,0-1,20,46,43.5,1
23,Bryant (NEC),1,0-1,31,71,43.7,1
21,Delaware (CAA),1,0-1,22,50,44,1
17,Vermont (America East),1,0-1,26,58,44.8,1
12,UAB (CUSA),1,0-1,26,56,46.4,1
8,San Francisco (WCC),1,0-1,32,68,47.1,1
7,Davidson (Atlantic 10),1,0-1,28,59,47.5,1
6,Southern California (Pac-12),1,0-1,24,50,48,1
5,Virginia Tech (ACC),1,0-1,23,47,48.9,1
2,Rutgers (Big Ten),1,0-1,36,71,50.7,1
