Rank,Team,GM,W-L,FGM,FGA,FG%,Madness
11,Villanova (Big East),6,6-0,165,348,47.4,1
22,Michigan (Big Ten),6,5-1,149,332,44.9,1
18,Kansas (Big 12),5,4-1,141,308,45.8,1
5,Loyola Chicago (MVC),5,4-1,126,249,50.6,1
50,Kansas St. (Big 12),4,3-1,83,214,38.8,1
40,Syracuse (ACC),4,3-1,81,199,40.7,1
35,Florida St. (ACC),4,3-1,88,213,41.3,1
28,Texas Tech (Big 12),4,3-1,101,236,42.8,1
10,Duke (ACC),4,3-1,117,244,48,1
26,Gonzaga (WCC),3,2-1,76,176,43.2,1
23,Purdue (Big Ten),3,2-1,75,169,44.4,1
15,West Virginia (Big 12),3,2-1,92,198,46.5,1
12,Nevada (Mountain West),3,2-1,86,182,47.3,1
9,Clemson (ACC),3,2-1,90,185,48.6,1
7,Kentucky (SEC),3,2-1,78,157,49.7,1
6,Texas A&M (SEC),3,2-1,89,179,49.7,1
68,Auburn (SEC),2,1-1,38,125,30.4,1
58,St. Bonaventure (Atlantic 10),2,1-1,40,108,37,1
57,Houston (AAC),2,1-1,42,113,37.2,1
53,Texas Southern (SWAC),2,1-1,47,122,38.5,1
51,Michigan St. (Big Ten),2,1-1,48,124,38.7,1
48,Rhode Island (Atlantic 10),2,1-1,55,140,39.3,1
44,Cincinnati (AAC),2,1-1,51,128,39.8,1
42,Florida (SEC),2,1-1,52,128,40.6,1
41,Radford (Big South),2,1-1,48,118,40.7,1
36,North Carolina (ACC),2,1-1,57,138,41.3,1
36,Ohio St. (Big Ten),2,1-1,57,138,41.3,1
29,UMBC (America East),2,1-1,40,95,42.1,1
27,Marshall (CUSA),2,1-1,50,116,43.1,1
20,Tennessee (SEC),2,1-1,52,115,45.2,1
14,Buffalo (MAC),2,1-1,60,129,46.5,1
13,Seton Hall (Big East),2,1-1,57,122,46.7,1
8,Butler (Big East),2,1-1,56,114,49.1,1
3,Alabama (SEC),2,1-1,50,98,51,1
2,Xavier (Big East),2,1-1,58,113,51.3,1
67,N.C. Central (MEAC),1,0-1,21,69,30.4,1
66,Wright St. (Horizon),1,0-1,19,60,31.7,1
65,Montana (Big Sky),1,0-1,18,56,32.1,1
64,Missouri (SEC),1,0-1,16,49,32.7,1
63,Creighton (Big East),1,0-1,23,68,33.8,1
62,Arkansas (SEC),1,0-1,20,56,35.7,1
61,Lipscomb (ASUN),1,0-1,23,64,35.9,1
60,Cal St. Fullerton (Big West),1,0-1,18,50,36,1
58,San Diego St. (Mountain West),1,0-1,20,54,37,1
56,LIU (NEC),1,0-1,19,50,38,1
55,South Dakota St. (Summit League),1,0-1,24,63,38.1,1
54,SFA (Southland),1,0-1,18,47,38.3,1
51,New Mexico St. (WAC),1,0-1,24,62,38.7,1
48,Penn (Ivy League),1,0-1,22,56,39.3,1
47,Davidson (Atlantic 10),1,0-1,24,61,39.3,1
46,TCU (Big 12),1,0-1,19,48,39.6,1
45,Georgia St. (Sun Belt),1,0-1,21,53,39.6,1
43,Arizona St. (Pac-12),1,0-1,21,52,40.4,1
39,Virginia (ACC),1,0-1,23,56,41.1,1
38,Murray St. (OVC),1,0-1,21,51,41.2,1
34,Wichita St. (AAC),1,0-1,27,65,41.5,1
33,UNC Greensboro (SoCon),1,0-1,28,67,41.8,1
32,Bucknell (Patriot),1,0-1,23,55,41.8,1
31,UCLA (Pac-12),1,0-1,21,50,42,1
30,Oklahoma (Big 12),1,0-1,29,69,42,1
25,Iona (MAAC),1,0-1,26,60,43.3,1
24,Providence (Big East),1,0-1,27,62,43.5,1
21,Col. of Charleston (CAA),1,0-1,23,51,45.1,1
19,Arizona (Pac-12),1,0-1,29,64,45.3,1
17,NC State (ACC),1,0-1,28,61,45.9,1
16,Texas (Big 12),1,0-1,31,67,46.3,1
3,Miami (FL) (ACC),1,0-1,25,49,51,1
1,Virginia Tech (ACC),1,0-1,30,54,55.6,1
,,,,,,,
,,,,,,,
