,Rank,Team,GM,W-L,FGM,FGA,FG%,Madness,Years
0,44.0,North Carolina (ACC),6.0,6-0,171.0,394.0,43.4,1.0,16-17
1,45.0,Gonzaga (WCC),6.0,5-1,147.0,346.0,42.5,1.0,16-17
2,32.0,South Carolina (SEC),5.0,4-1,136.0,299.0,45.5,1.0,16-17
3,19.0,Oregon (Pac-12),5.0,4-1,137.0,288.0,47.6,1.0,16-17
4,38.0,Kentucky (SEC),4.0,3-1,108.0,244.0,44.3,1.0,16-17
5,33.0,Florida (SEC),4.0,3-1,102.0,226.0,45.1,1.0,16-17
6,16.0,Xavier (Big East),4.0,3-1,105.0,219.0,47.9,1.0,16-17
7,8.0,Kansas (Big 12),4.0,3-1,125.0,250.0,50.0,1.0,16-17
8,52.0,West Virginia (Big 12),3.0,2-1,73.0,180.0,40.6,1.0,16-17
9,26.0,Baylor (Big 12),3.0,2-1,83.0,178.0,46.6,1.0,16-17
10,20.0,Butler (Big East),3.0,2-1,75.0,158.0,47.5,1.0,16-17
11,18.0,Purdue (Big Ten),3.0,2-1,86.0,180.0,47.8,1.0,16-17
12,15.0,Michigan (Big Ten),3.0,2-1,82.0,171.0,48.0,1.0,16-17
13,14.0,Southern California (Pac-12),3.0,2-1,78.0,162.0,48.1,1.0,16-17
14,13.0,Wisconsin (Big Ten),3.0,2-1,80.0,164.0,48.8,1.0,16-17
15,11.0,Arizona (Pac-12),3.0,2-1,86.0,175.0,49.1,1.0,16-17
16,1.0,UCLA (Pac-12),3.0,2-1,97.0,176.0,55.1,1.0,16-17
17,59.0,UC Davis (Big West),2.0,1-1,43.0,110.0,39.1,1.0,16-17
18,59.0,Wichita St. (MVC),2.0,1-1,43.0,110.0,39.1,1.0,16-17
19,58.0,Virginia (ACC),2.0,1-1,42.0,106.0,39.6,1.0,16-17
20,51.0,Notre Dame (ACC),2.0,1-1,43.0,106.0,40.6,1.0,16-17
21,40.0,Mount St. Mary's (NEC),2.0,1-1,46.0,104.0,44.2,1.0,16-17
22,37.0,Duke (ACC),2.0,1-1,51.0,115.0,44.3,1.0,16-17
23,36.0,Northwestern (Big Ten),2.0,1-1,53.0,119.0,44.5,1.0,16-17
24,34.0,Arkansas (SEC),2.0,1-1,54.0,120.0,45.0,1.0,16-17
25,30.0,Middle Tenn. (CUSA),2.0,1-1,53.0,115.0,46.1,1.0,16-17
26,25.0,Villanova (Big East),2.0,1-1,52.0,111.0,46.8,1.0,16-17
27,22.0,Louisville (ACC),2.0,1-1,59.0,125.0,47.2,1.0,16-17
28,21.0,Florida St. (ACC),2.0,1-1,54.0,114.0,47.4,1.0,16-17
29,17.0,Rhode Island (Atlantic 10),2.0,1-1,56.0,117.0,47.9,1.0,16-17
30,8.0,Michigan St. (Big Ten),2.0,1-1,55.0,110.0,50.0,1.0,16-17
31,7.0,Saint Mary's (CA) (WCC),2.0,1-1,50.0,99.0,50.5,1.0,16-17
32,6.0,Kansas St. (Big 12),2.0,1-1,52.0,101.0,51.5,1.0,16-17
33,5.0,Cincinnati (AAC),2.0,1-1,53.0,101.0,52.5,1.0,16-17
34,4.0,Iowa St. (Big 12),2.0,1-1,60.0,114.0,52.6,1.0,16-17
35,67.0,Dayton (Atlantic 10),1.0,0-1,18.0,58.0,31.0,1.0,16-17
36,67.0,South Dakota St. (Summit League),1.0,0-1,18.0,58.0,31.0,1.0,16-17
37,66.0,Northern Ky. (Horizon),1.0,0-1,26.0,73.0,35.6,1.0,16-17
38,65.0,N.C. Central (MEAC),1.0,0-1,24.0,67.0,35.8,1.0,16-17
39,64.0,Texas Southern (SWAC),1.0,0-1,22.0,60.0,36.7,1.0,16-17
40,63.0,Vanderbilt (SEC),1.0,0-1,21.0,55.0,38.2,1.0,16-17
41,62.0,Seton Hall (Big East),1.0,0-1,26.0,68.0,38.2,1.0,16-17
42,61.0,Princeton (Ivy League),1.0,0-1,22.0,57.0,38.6,1.0,16-17
43,56.0,Creighton (Big East),1.0,0-1,26.0,65.0,40.0,1.0,16-17
44,56.0,Nevada (Mountain West),1.0,0-1,26.0,65.0,40.0,1.0,16-17
45,54.0,Winthrop (Big South),1.0,0-1,25.0,62.0,40.3,1.0,16-17
46,54.0,ETSU (SoCon),1.0,0-1,25.0,62.0,40.3,1.0,16-17
47,53.0,Miami (FL) (ACC),1.0,0-1,21.0,52.0,40.4,1.0,16-17
48,50.0,Troy (Sun Belt),1.0,0-1,24.0,59.0,40.7,1.0,16-17
49,49.0,Maryland (Big Ten),1.0,0-1,22.0,54.0,40.7,1.0,16-17
50,48.0,UNCW (CAA),1.0,0-1,25.0,61.0,41.0,1.0,16-17
51,47.0,FGCU (ASUN),1.0,0-1,29.0,70.0,41.4,1.0,16-17
52,46.0,SMU (AAC),1.0,0-1,24.0,57.0,42.1,1.0,16-17
53,43.0,Kent St. (MAC),1.0,0-1,31.0,71.0,43.7,1.0,16-17
54,41.0,Iona (MAAC),1.0,0-1,28.0,64.0,43.8,1.0,16-17
55,41.0,New Mexico St. (WAC),1.0,0-1,28.0,64.0,43.8,1.0,16-17
