Rank,Team,GM,W-L,FGM,FGA,FG%,Madness
21,Baylor (Big 12),6,6-0,171,373,45.8,1
20,UCLA (Pac-12),6,5-1,170,370,45.9,1
3,Gonzaga (WCC),6,5-1,191,353,54.1,1
43,Houston (AAC),5,4-1,115,297,38.7,1
32,Arkansas (SEC),4,3-1,110,257,42.8,1
24,Oregon St. (Pac-12),4,3-1,91,205,44.4,1
15,Michigan (Big Ten),4,3-1,103,216,47.7,1
7,Southern California (Pac-12),4,3-1,116,230,50.4,1
35,Oral Roberts (Summit League),3,2-1,77,188,41,1
29,Creighton (Big East),3,2-1,81,187,43.3,1
27,Loyola Chicago (MVC),3,2-1,69,158,43.7,1
23,Syracuse (ACC),3,2-1,67,149,45,1
17,Florida St. (ACC),3,2-1,73,154,47.4,1
14,Alabama (SEC),3,2-1,90,188,47.9,1
13,Villanova (Big East),3,2-1,74,154,48.1,1
66,Abilene Christian (Southland),2,1-1,37,124,29.8,1
62,Norfolk St. (MEAC),2,1-1,39,120,32.5,1
61,Drake (MVC),2,1-1,40,121,33.1,1
58,Oklahoma St. (Big 12),2,1-1,41,122,33.6,1
51,Ohio (MAC),2,1-1,42,116,36.2,1
49,Texas Southern (SWAC),2,1-1,45,121,37.2,1
40,Texas Tech (Big 12),2,1-1,48,123,39,1
39,Kansas (Big 12),2,1-1,52,133,39.1,1
36,LSU (SEC),2,1-1,52,131,39.7,1
34,Rutgers (Big Ten),2,1-1,45,108,41.7,1
28,West Virginia (Big 12),2,1-1,58,133,43.6,1
25,North Texas (CUSA),2,1-1,49,111,44.1,1
19,Oklahoma (Big 12),2,1-1,52,113,46,1
18,Oregon (Pac-12),2,1-1,64,137,46.7,1
12,Colorado (Pac-12),2,1-1,54,112,48.2,1
11,Wisconsin (Big Ten),2,1-1,56,116,48.3,1
9,Iowa (Big Ten),2,1-1,60,122,49.2,1
6,Illinois (Big Ten),2,1-1,58,112,51.8,1
4,Maryland (Big Ten),2,1-1,54,103,52.4,1
2,Florida (SEC),2,1-1,58,104,55.8,1
67,App State (Sun Belt),1,0-1,16,62,25.8,1
65,Drexel (CAA),1,0-1,19,62,30.6,1
64,UNC Greensboro (SoCon),1,0-1,19,60,31.7,1
63,UConn (Big East),1,0-1,21,65,32.3,1
59,Tennessee (SEC),1,0-1,21,63,33.3,1
59,St. Bonaventure (Atlantic 10),1,0-1,21,63,33.3,1
57,Wichita St. (AAC),1,0-1,19,56,33.9,1
56,Virginia (ACC),1,0-1,21,60,35,1
55,Hartford (America East),1,0-1,19,54,35.2,1
54,Clemson (ACC),1,0-1,21,59,35.6,1
53,San Diego St. (Mountain West),1,0-1,24,67,35.8,1
51,Winthrop (Big South),1,0-1,21,58,36.2,1
50,Purdue (Big Ten),1,0-1,25,69,36.2,1
48,Liberty (ASUN),1,0-1,21,56,37.5,1
47,Missouri (SEC),1,0-1,22,58,37.9,1
46,North Carolina (ACC),1,0-1,25,65,38.5,1
45,UC Santa Barbara (Big West),1,0-1,22,57,38.6,1
44,Cleveland St. (Horizon),1,0-1,17,44,38.6,1
42,Mount St. Mary's (NEC),1,0-1,19,49,38.8,1
41,Iona (MAAC),1,0-1,23,59,39,1
37,Georgetown (Big East),1,0-1,23,58,39.7,1
37,Colgate (Patriot),1,0-1,23,58,39.7,1
33,Virginia Tech (ACC),1,0-1,24,57,42.1,1
31,Grand Canyon (WAC),1,0-1,30,70,42.9,1
30,Ohio St. (Big Ten),1,0-1,29,67,43.3,1
26,Utah St. (Mountain West),1,0-1,22,50,44,1
22,Texas (Big 12),1,0-1,18,40,45,1
16,Michigan St. (Big Ten),1,0-1,29,61,47.5,1
10,BYU (WCC),1,0-1,25,51,49,1
8,Eastern Wash. (Big Sky),1,0-1,29,58,50,1
5,Morehead St. (OVC),1,0-1,26,50,52,1
1,Georgia Tech (ACC),1,0-1,27,47,57.4,1
,,,,,,,
,,,,,,,
