Rank,Team,GM,W-L,FGM,FGA,FG%,Madness
25,UConn (AAC),6,6-0,142,313,45.4,1
20,Kentucky (SEC),6,5-1,148,317,46.7,1
34,Florida (SEC),5,4-1,116,262,44.3,1
18,Wisconsin (Big Ten),5,4-1,128,273,46.9,1
36,Dayton (Atlantic 10),4,3-1,88,201,43.8,1
16,Michigan St. (Big Ten),4,3-1,97,206,47.1,1
14,Arizona (Pac-12),4,3-1,104,219,47.5,1
9,Michigan (Big Ten),4,3-1,100,206,48.5,1
5,Tennessee (SEC),4,3-1,111,222,50,1
48,San Diego St. (Mountain West),3,2-1,63,157,40.1,1
47,Stanford (Pac-12),3,2-1,62,154,40.3,1
38,Louisville (),3,2-1,68,157,43.3,1
32,Baylor (Big 12),3,2-1,65,146,44.5,1
17,Virginia (ACC),3,2-1,71,151,47,1
15,UCLA (Pac-12),3,2-1,85,180,47.2,1
2,Iowa St. (Big 12),3,2-1,96,190,50.5,1
52,Cal Poly (Big West),2,1-1,41,109,37.6,1
46,Villanova (Big East),2,1-1,46,113,40.7,1
42,Harvard (Ivy League),2,1-1,41,97,42.3,1
39,North Dakota St. (Summit League),2,1-1,42,98,42.9,1
37,SFA (Southland),2,1-1,47,108,43.5,1
35,Syracuse (ACC),2,1-1,49,111,44.1,1
33,Saint Louis (Atlantic 10),2,1-1,52,117,44.4,1
30,Pittsburgh (ACC),2,1-1,50,112,44.6,1
29,Memphis (AAC),2,1-1,51,114,44.7,1
28,Texas (Big 12),2,1-1,54,120,45,1
26,Gonzaga (WCC),2,1-1,47,104,45.2,1
24,Creighton (Big East),2,1-1,50,109,45.9,1
23,Kansas (Big 12),2,1-1,51,111,45.9,1
19,North Carolina (ACC),2,1-1,66,141,46.8,1
13,UAlbany (America East),2,1-1,47,98,48,1
8,Oregon (Pac-12),2,1-1,51,103,49.5,1
5,Mercer (ASUN),2,1-1,49,98,50,1
4,NC State (ACC),2,1-1,57,113,50.4,1
3,Wichita St. (MVC),2,1-1,50,99,50.5,1
67,Milwaukee (Horizon),1,0-1,18,63,28.6,1
66,American (Patriot),1,0-1,11,37,29.7,1
65,Weber St. (Big Sky),1,0-1,16,53,30.2,1
64,BYU (WCC),1,0-1,20,61,32.8,1
63,Wofford (SoCon),1,0-1,18,53,34,1
62,Western Mich. (MAC),1,0-1,17,49,34.7,1
61,Oklahoma (Big 12),1,0-1,25,72,34.7,1
60,Duke (ACC),1,0-1,22,62,35.5,1
59,Colorado (Pac-12),1,0-1,15,42,35.7,1
58,Kansas St. (Big 12),1,0-1,19,53,35.8,1
57,Delaware (CAA),1,0-1,20,55,36.4,1
56,New Mexico (Mountain West),1,0-1,19,52,36.5,1
55,Mount St. Mary's (NEC),1,0-1,22,60,36.7,1
53,Tulsa (CUSA),1,0-1,21,57,36.8,1
53,Cincinnati (AAC),1,0-1,21,57,36.8,1
51,Eastern Ky. (OVC),1,0-1,22,57,38.6,1
49,Oklahoma St. (Big 12),1,0-1,26,65,40,1
49,New Mexico St. (WAC),1,0-1,26,65,40,1
45,Iowa (Big Ten),1,0-1,24,58,41.4,1
44,Xavier (Big East),1,0-1,23,55,41.8,1
43,Coastal Carolina (Big South),1,0-1,21,50,42,1
41,Massachusetts (Atlantic 10),1,0-1,28,66,42.4,1
40,Nebraska (Big Ten),1,0-1,23,54,42.6,1
30,George Washington (Atlantic 10),1,0-1,25,56,44.6,1
27,Manhattan (MAAC),1,0-1,23,51,45.1,1
21,N.C. Central (MEAC),1,0-1,30,65,46.2,1
21,VCU (Atlantic 10),1,0-1,30,65,46.2,1
11,Ohio St. (Big Ten),1,0-1,24,50,48,1
11,Texas Southern (SWAC),1,0-1,24,50,48,1
10,Arizona St. (Pac-12),1,0-1,27,56,48.2,1
5,Saint Joseph's (Atlantic 10),1,0-1,27,54,50,1
1,Providence (Big East),1,0-1,28,53,52.8,1
,,,,,,,
,,,,,,,
