Team,Madness,Years,AST,TO,Ratio,TPG,3FG%,PTS,PPG,ORebs,DRebs,REB,RPG,FGM_y,FGA_y,FT,FTA,FT%
VMI (Big South),0.0,13-14,491,371,1.32,10.6,32.5,"3,089",88.3,503,949,"1,452",0.0,"1,088","2,441",600,842,71.3
UCLA (Pac-12),1.0,13-14,636,379,1.68,10.243243243243244,38.0,"3,003",81.2,368,940,"1,308",0.0,"1,073","2,196",628,839,74.9
Louisiana Tech (CUSA),0.0,13-14,582,424,1.37,11.45945945945946,32.9,"2,998",81.0,478,970,"1,448",0.0,"1,034","2,284",644,948,67.9
Louisville (),1.0,13-14,568,391,1.45,10.567567567567568,36.8,"2,998",81.0,503,893,"1,396",0.0,"1,051","2,232",608,920,66.1
Kentucky (SEC),1.0,13-14,446,481,0.93,12.025,33.2,"2,992",74.8,574,"1,034","1,608",0.0,"1,004","2,214",781,"1,146",68.2
Iowa St. (Big 12),1.0,13-14,663,380,1.74,10.555555555555555,35.8,"2,989",83.0,375,"1,012","1,387",0.0,"1,062","2,239",564,814,69.3
BYU (WCC),1.0,13-14,544,395,1.38,11.285714285714286,35.5,"2,931",83.7,463,969,"1,432",0.0,"1,012","2,186",730,"1,055",69.2
Belmont (OVC),0.0,13-14,571,463,1.23,12.86111111111111,39.2,"2,876",79.9,315,808,"1,123",0.0,983,"1,973",587,794,73.9
UConn (AAC),1.0,13-14,488,457,1.07,11.425,38.7,"2,873",71.8,387,"1,009","1,396",0.0,971,"2,162",644,829,77.7
Michigan St. (Big Ten),1.0,13-14,637,440,1.45,11.578947368421051,39.2,"2,870",75.5,409,991,"1,400",0.0,"1,024","2,159",515,728,70.7
Baylor (Big 12),1.0,13-14,563,440,1.28,11.578947368421051,38.6,"2,843",74.8,525,931,"1,456",0.0,959,"2,109",645,947,68.1
Fresno St. (Mountain West),0.0,13-14,470,394,1.19,10.102564102564102,35.7,"2,837",72.7,359,961,"1,320",0.0,950,"2,170",646,884,73.1
Mercer (ASUN),1.0,13-14,586,420,1.4,11.666666666666666,38.4,"2,836",78.8,407,931,"1,338",0.0,982,"2,061",582,791,73.6
Louisiana (Sun Belt),0.0,13-14,472,467,1.01,13.342857142857143,36.7,"2,835",81.0,483,852,"1,335",0.0,988,"2,127",613,913,67.1
Wisconsin (Big Ten),1.0,13-14,468,307,1.52,8.078947368421053,37.6,"2,793",73.5,337,929,"1,266",0.0,927,"2,018",642,861,74.6
Oregon (Pac-12),1.0,13-14,492,389,1.26,11.441176470588236,38.9,"2,783",81.9,356,804,"1,160",0.0,928,"1,977",668,865,77.2
Delaware (CAA),1.0,13-14,377,334,1.13,9.542857142857144,34.7,"2,782",79.5,385,879,"1,264",0.0,936,"2,108",658,925,71.1
Purdue Fort Wayne (Summit League),0.0,13-14,524,440,1.19,12.22222222222222,39.3,"2,774",77.1,377,838,"1,215",0.0,975,"1,979",539,813,66.3
New Mexico St. (WAC),1.0,13-14,474,457,1.04,12.694444444444445,37.1,"2,771",77.0,428,918,"1,346",0.0,936,"1,918",705,"1,027",68.6
Arizona (Pac-12),1.0,13-14,574,387,1.48,10.18421052631579,36.4,"2,769",72.9,465,984,"1,449",0.0,996,"2,123",573,870,65.9
Kansas (Big 12),1.0,13-14,523,463,1.13,13.228571428571428,34.0,"2,764",79.0,416,920,"1,336",0.0,955,"1,937",665,935,71.1
Gonzaga (WCC),1.0,13-14,525,419,1.25,11.63888888888889,39.7,"2,761",76.7,343,948,"1,291",0.0,972,"1,963",562,793,70.9
