,Team,Years,AST,TO,Ratio,TPG,Avg,3FG%,PTS,PPG,ORebs,DRebs,REB,RPG,FGM,FGA,FG%,FT,FTA,FT%
0,Michigan (Big Ten),12-13,565,368,1.54,9.435897435897436,,38.5,"2,932",75.2,0,0,"1,366",0.0,"1,093","2,260",48.4,450,642,70.1
1,UC Irvine (Big West),12-13,580,461,1.26,12.45945945945946,,33.4,"2,558",69.1,0,0,"1,428",0.0,932,"2,151",43.3,445,669,66.5
2,Iowa St. (Big 12),12-13,560,460,1.22,13.142857142857142,,37.4,"2,779",79.4,0,0,"1,341",0.0,962,"2,111",45.6,509,696,73.1
3,Santa Clara (WCC),12-13,560,468,1.2,12.31578947368421,,36.1,"2,827",74.4,0,0,"1,315",0.0,970,"2,195",44.2,584,803,72.7
4,Wichita St. (MVC),12-13,530,492,1.08,12.615384615384617,,33.9,"2,720",69.7,0,0,"1,497",0.0,954,"2,166",44.0,553,791,69.9
5,Creighton (Big East),13-14,614,342,1.8,9.771428571428572,,41.4,"2,756",78.7,293,899,"1,192",0.0,957,"1,927",49.7,486,654,74.3
6,Iowa St. (Big 12),13-14,663,380,1.74,10.555555555555555,,35.8,"2,989",83.0,375,"1,012","1,387",0.0,"1,062","2,239",47.4,564,814,69.3
7,UCLA (Pac-12),13-14,636,379,1.68,10.243243243243244,,38.0,"3,003",81.2,368,940,"1,308",0.0,"1,073","2,196",48.9,628,839,74.9
8,Iona (MAAC),13-14,576,349,1.65,10.575757575757576,,39.6,"2,760",83.6,288,806,"1,094",0.0,947,"1,944",48.7,528,739,71.4
9,Georgia St. (Sun Belt),13-14,451,275,1.64,8.088235294117647,,37.5,"2,641",77.7,280,794,"1,074",0.0,900,"1,923",46.8,589,757,77.8
10,Wisconsin (Big Ten),13-14,468,307,1.52,8.078947368421053,,37.6,"2,793",73.5,337,929,"1,266",0.0,927,"2,018",45.9,642,861,74.6
11,Duke (ACC),13-14,509,334,1.52,9.542857142857144,,39.5,"2,745",78.4,424,783,"1,207",0.0,929,"2,020",46.0,571,783,72.9
12,Michigan (Big Ten),13-14,525,345,1.52,9.324324324324325,,40.2,"2,736",73.9,329,831,"1,160",0.0,945,"1,982",47.7,527,691,76.3
13,Denver (Summit League),13-14,466,307,1.52,9.903225806451612,,38.7,"2,044",65.9,226,582,808,0.0,711,"1,535",46.3,369,520,71.0
14,Pittsburgh (ACC),13-14,563,373,1.51,10.36111111111111,,35.1,"2,586",71.8,432,859,"1,291",0.0,895,"1,944",46.0,613,861,71.2
15,California (Pac-12),13-14,537,356,1.51,10.17142857142857,,34.5,"2,533",72.4,353,894,"1,247",0.0,921,"2,014",45.7,492,717,68.6
16,Arizona (Pac-12),13-14,574,387,1.48,10.18421052631579,,36.4,"2,769",72.9,465,984,"1,449",0.0,996,"2,123",46.9,573,870,65.9
17,Toledo (MAC),13-14,509,346,1.47,10.176470588235292,,34.5,"2,694",79.2,421,797,"1,218",0.0,929,"1,995",46.6,643,887,72.5
18,Notre Dame (ACC),13-14,484,331,1.46,10.34375,,35.8,"2,303",72.0,344,737,"1,081",0.0,839,"1,842",45.5,397,553,71.8
19,SFA (Southland),13-14,574,393,1.46,11.228571428571428,,34.5,"2,661",76.0,451,735,"1,186",0.0,922,"1,992",46.3,569,800,71.1
20,Louisville (),13-14,568,391,1.45,10.567567567567568,,36.8,"2,998",81.0,503,893,"1,396",0.0,"1,051","2,232",47.1,608,920,66.1
21,New Mexico (Mountain West),13-14,522,360,1.45,10.588235294117649,,33.2,"2,516",74.0,360,936,"1,296",0.0,847,"1,851",45.8,625,864,72.3
22,Michigan St. (Big Ten),13-14,637,440,1.45,11.578947368421051,,39.2,"2,870",75.5,409,991,"1,400",0.0,"1,024","2,159",47.4,515,728,70.7
23,Utah St. (Mountain West),13-14,510,353,1.44,11.03125,,40.6,"2,215",69.2,347,819,"1,166",0.0,782,"1,732",45.2,431,587,73.4
24,Iowa (Big Ten),13-14,532,371,1.43,11.242424242424242,,35.0,"2,689",81.5,446,885,"1,331",0.0,919,"1,984",46.3,660,898,73.5
25,UC Santa Barbara (Big West),13-14,478,335,1.43,11.166666666666666,,38.5,"2,137",71.2,306,753,"1,059",0.0,731,"1,574",46.4,465,657,70.8
26,Oakland (Horizon),13-14,522,367,1.42,11.12121212121212,,37.0,"2,455",74.4,298,727,"1,025",0.0,821,"1,890",43.4,534,732,73.0
27,Youngstown St. (Horizon),13-14,499,357,1.4,11.15625,,35.0,"2,461",76.9,297,768,"1,065",0.0,836,"1,822",45.9,540,736,73.4
28,Mercer (ASUN),13-14,586,420,1.4,11.666666666666666,,38.4,"2,836",78.8,407,931,"1,338",0.0,982,"2,061",47.6,582,791,73.6
29,Eastern Ky. (OVC),13-14,498,359,1.39,10.558823529411764,,39.0,"2,677",78.7,243,641,884,0.0,881,"1,810",48.7,600,798,75.2
30,Drexel (CAA),13-14,353,255,1.38,8.5,,31.4,"2,064",68.8,315,756,"1,071",0.0,718,"1,707",42.1,474,669,70.9
31,Colorado St. (Mountain West),13-14,405,293,1.38,9.15625,,32.6,"2,347",73.3,405,797,"1,202",0.0,770,"1,798",42.8,637,877,72.6
32,Duquesne (Atlantic 10),13-14,457,331,1.38,11.033333333333331,,36.3,"2,200",73.3,323,737,"1,060",0.0,751,"1,699",44.2,480,717,66.9
33,BYU (WCC),13-14,544,395,1.38,11.285714285714286,,35.5,"2,931",83.7,463,969,"1,432",0.0,"1,012","2,186",46.3,730,"1,055",69.2
